station,name,date,latitude,longitude,elevation,precipitation
CA001101158,BURNABY SIMON FRASER U,2016-01-01,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-01-02,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-01-03,49.2833,-122.9167,366.0,1.0
CA001101158,BURNABY SIMON FRASER U,2016-01-04,49.2833,-122.9167,366.0,1.5
CA001101158,BURNABY SIMON FRASER U,2016-01-05,49.2833,-122.9167,366.0,8.0
CA001101158,BURNABY SIMON FRASER U,2016-01-07,49.2833,-122.9167,366.0,1.0
CA001101158,BURNABY SIMON FRASER U,2016-01-08,49.2833,-122.9167,366.0,0.6
CA001101158,BURNABY SIMON FRASER U,2016-01-09,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-01-10,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-01-11,49.2833,-122.9167,366.0,8.5
CA001101158,BURNABY SIMON FRASER U,2016-01-12,49.2833,-122.9167,366.0,5.6
CA001101158,BURNABY SIMON FRASER U,2016-01-13,49.2833,-122.9167,366.0,0.8
CA001101158,BURNABY SIMON FRASER U,2016-01-14,49.2833,-122.9167,366.0,0.4
CA001101158,BURNABY SIMON FRASER U,2016-01-15,49.2833,-122.9167,366.0,0.4
CA001101158,BURNABY SIMON FRASER U,2016-01-16,49.2833,-122.9167,366.0,10.4
CA001101158,BURNABY SIMON FRASER U,2016-01-17,49.2833,-122.9167,366.0,9.6
CA001101158,BURNABY SIMON FRASER U,2016-01-18,49.2833,-122.9167,366.0,4.2
CA001101158,BURNABY SIMON FRASER U,2016-01-19,49.2833,-122.9167,366.0,0.5
CA001101158,BURNABY SIMON FRASER U,2016-01-20,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-01-21,49.2833,-122.9167,366.0,22.3
CA001101158,BURNABY SIMON FRASER U,2016-01-22,49.2833,-122.9167,366.0,1.8
CA001101158,BURNABY SIMON FRASER U,2016-01-23,49.2833,-122.9167,366.0,4.6
CA001101158,BURNABY SIMON FRASER U,2016-01-24,49.2833,-122.9167,366.0,2.2
CA001101158,BURNABY SIMON FRASER U,2016-01-25,49.2833,-122.9167,366.0,3.4
CA001101158,BURNABY SIMON FRASER U,2016-01-26,49.2833,-122.9167,366.0,31.8
CA001101158,BURNABY SIMON FRASER U,2016-01-27,49.2833,-122.9167,366.0,54.5
CA001101158,BURNABY SIMON FRASER U,2016-01-28,49.2833,-122.9167,366.0,0.6
CA001101158,BURNABY SIMON FRASER U,2016-01-29,49.2833,-122.9167,366.0,1.0
CA001101158,BURNABY SIMON FRASER U,2016-01-30,49.2833,-122.9167,366.0,6.2
CA001101158,BURNABY SIMON FRASER U,2016-01-31,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-02-01,49.2833,-122.9167,366.0,1.0
CA001101158,BURNABY SIMON FRASER U,2016-02-02,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-02-03,49.2833,-122.9167,366.0,18.2
CA001101158,BURNABY SIMON FRASER U,2016-02-04,49.2833,-122.9167,366.0,6.4
CA001101158,BURNABY SIMON FRASER U,2016-02-05,49.2833,-122.9167,366.0,7.2
CA001101158,BURNABY SIMON FRASER U,2016-02-07,49.2833,-122.9167,366.0,1.0
CA001101158,BURNABY SIMON FRASER U,2016-02-08,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-02-09,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-02-10,49.2833,-122.9167,366.0,5.2
CA001101158,BURNABY SIMON FRASER U,2016-02-11,49.2833,-122.9167,366.0,29.3
CA001101158,BURNABY SIMON FRASER U,2016-02-12,49.2833,-122.9167,366.0,1.5
CA001101158,BURNABY SIMON FRASER U,2016-02-13,49.2833,-122.9167,366.0,29.7
CA001101158,BURNABY SIMON FRASER U,2016-02-14,49.2833,-122.9167,366.0,7.6
CA001101158,BURNABY SIMON FRASER U,2016-02-16,49.2833,-122.9167,366.0,16.2
CA001101158,BURNABY SIMON FRASER U,2016-02-20,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-02-21,49.2833,-122.9167,366.0,1.5
CA001101158,BURNABY SIMON FRASER U,2016-02-22,49.2833,-122.9167,366.0,0.6
CA001101158,BURNABY SIMON FRASER U,2016-02-23,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-02-26,49.2833,-122.9167,366.0,2.0
CA001101158,BURNABY SIMON FRASER U,2016-02-27,49.2833,-122.9167,366.0,5.4
CA001101158,BURNABY SIMON FRASER U,2016-02-28,49.2833,-122.9167,366.0,11.2
CA001101158,BURNABY SIMON FRASER U,2016-02-29,49.2833,-122.9167,366.0,4.2
CA001101158,BURNABY SIMON FRASER U,2016-03-01,49.2833,-122.9167,366.0,23.0
CA001101158,BURNABY SIMON FRASER U,2016-03-02,49.2833,-122.9167,366.0,6.7
CA001101158,BURNABY SIMON FRASER U,2016-03-03,49.2833,-122.9167,366.0,4.0
CA001101158,BURNABY SIMON FRASER U,2016-03-04,49.2833,-122.9167,366.0,5.8
CA001101158,BURNABY SIMON FRASER U,2016-03-05,49.2833,-122.9167,366.0,8.3
CA001101158,BURNABY SIMON FRASER U,2016-03-06,49.2833,-122.9167,366.0,2.4
CA001101158,BURNABY SIMON FRASER U,2016-03-07,49.2833,-122.9167,366.0,12.6
CA001101158,BURNABY SIMON FRASER U,2016-03-08,49.2833,-122.9167,366.0,2.2
CA001101158,BURNABY SIMON FRASER U,2016-03-09,49.2833,-122.9167,366.0,7.0
CA001101158,BURNABY SIMON FRASER U,2016-03-11,49.2833,-122.9167,366.0,17.5
CA001101158,BURNABY SIMON FRASER U,2016-03-12,49.2833,-122.9167,366.0,5.4
CA001101158,BURNABY SIMON FRASER U,2016-03-13,49.2833,-122.9167,366.0,17.4
CA001101158,BURNABY SIMON FRASER U,2016-03-14,49.2833,-122.9167,366.0,5.0
CA001101158,BURNABY SIMON FRASER U,2016-03-15,49.2833,-122.9167,366.0,2.8
CA001101158,BURNABY SIMON FRASER U,2016-03-16,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-03-17,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-03-18,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-03-19,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-03-20,49.2833,-122.9167,366.0,20.6
CA001101158,BURNABY SIMON FRASER U,2016-03-21,49.2833,-122.9167,366.0,5.0
CA001101158,BURNABY SIMON FRASER U,2016-03-22,49.2833,-122.9167,366.0,1.0
CA001101158,BURNABY SIMON FRASER U,2016-03-23,49.2833,-122.9167,366.0,18.0
CA001101158,BURNABY SIMON FRASER U,2016-03-24,49.2833,-122.9167,366.0,30.2
CA001101158,BURNABY SIMON FRASER U,2016-03-25,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-03-26,49.2833,-122.9167,366.0,21.0
CA001101158,BURNABY SIMON FRASER U,2016-03-27,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-03-28,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-03-29,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-03-30,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-03-31,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-01,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-02,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-03,49.2833,-122.9167,366.0,15.0
CA001101158,BURNABY SIMON FRASER U,2016-04-04,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-05,49.2833,-122.9167,366.0,4.8
CA001101158,BURNABY SIMON FRASER U,2016-04-06,49.2833,-122.9167,366.0,0.8
CA001101158,BURNABY SIMON FRASER U,2016-04-07,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-08,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-09,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-10,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-11,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-12,49.2833,-122.9167,366.0,12.0
CA001101158,BURNABY SIMON FRASER U,2016-04-13,49.2833,-122.9167,366.0,0.4
CA001101158,BURNABY SIMON FRASER U,2016-04-14,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-15,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-16,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-17,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-18,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-19,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-20,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-21,49.2833,-122.9167,366.0,0.6
CA001101158,BURNABY SIMON FRASER U,2016-04-22,49.2833,-122.9167,366.0,2.2
CA001101158,BURNABY SIMON FRASER U,2016-04-23,49.2833,-122.9167,366.0,1.2
CA001101158,BURNABY SIMON FRASER U,2016-04-24,49.2833,-122.9167,366.0,0.4
CA001101158,BURNABY SIMON FRASER U,2016-04-25,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-26,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-27,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-28,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-29,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-04-30,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-01,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-02,49.2833,-122.9167,366.0,1.4
CA001101158,BURNABY SIMON FRASER U,2016-05-03,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-04,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-05,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-06,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-17,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-18,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-19,49.2833,-122.9167,366.0,1.6
CA001101158,BURNABY SIMON FRASER U,2016-05-20,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-21,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-22,49.2833,-122.9167,366.0,0.6
CA001101158,BURNABY SIMON FRASER U,2016-05-23,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-24,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-25,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-26,49.2833,-122.9167,366.0,14.4
CA001101158,BURNABY SIMON FRASER U,2016-05-27,49.2833,-122.9167,366.0,9.4
CA001101158,BURNABY SIMON FRASER U,2016-05-28,49.2833,-122.9167,366.0,33.2
CA001101158,BURNABY SIMON FRASER U,2016-05-29,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-30,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-05-31,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-06-01,49.2833,-122.9167,366.0,14.8
CA001101158,BURNABY SIMON FRASER U,2016-06-04,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-06-05,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-06-06,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-06-07,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-06-08,49.2833,-122.9167,366.0,1.4
CA001101158,BURNABY SIMON FRASER U,2016-06-09,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-06-10,49.2833,-122.9167,366.0,1.2
CA001101158,BURNABY SIMON FRASER U,2016-06-11,49.2833,-122.9167,366.0,5.6
CA001101158,BURNABY SIMON FRASER U,2016-06-12,49.2833,-122.9167,366.0,0.6
CA001101158,BURNABY SIMON FRASER U,2016-06-13,49.2833,-122.9167,366.0,1.4
CA001101158,BURNABY SIMON FRASER U,2016-06-14,49.2833,-122.9167,366.0,12.4
CA001101158,BURNABY SIMON FRASER U,2016-06-15,49.2833,-122.9167,366.0,0.4
CA001101158,BURNABY SIMON FRASER U,2016-06-19,49.2833,-122.9167,366.0,1.0
CA001101158,BURNABY SIMON FRASER U,2016-06-20,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-06-21,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-06-22,49.2833,-122.9167,366.0,4.0
CA001101158,BURNABY SIMON FRASER U,2016-06-25,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-06-26,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-06-27,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-06-28,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-07-06,49.2833,-122.9167,366.0,0.4
CA001101158,BURNABY SIMON FRASER U,2016-07-07,49.2833,-122.9167,366.0,5.4
CA001101158,BURNABY SIMON FRASER U,2016-07-08,49.2833,-122.9167,366.0,3.0
CA001101158,BURNABY SIMON FRASER U,2016-07-09,49.2833,-122.9167,366.0,25.4
CA001101158,BURNABY SIMON FRASER U,2016-07-10,49.2833,-122.9167,366.0,3.6
CA001101158,BURNABY SIMON FRASER U,2016-07-11,49.2833,-122.9167,366.0,1.4
CA001101158,BURNABY SIMON FRASER U,2016-07-12,49.2833,-122.9167,366.0,4.0
CA001101158,BURNABY SIMON FRASER U,2016-07-13,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-07-14,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-07-15,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-07-16,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-07-17,49.2833,-122.9167,366.0,1.0
CA001101158,BURNABY SIMON FRASER U,2016-07-18,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-07-19,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-07-20,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-07-24,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-07-26,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-07-27,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-07-29,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-07-31,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-01,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-02,49.2833,-122.9167,366.0,4.6
CA001101158,BURNABY SIMON FRASER U,2016-08-03,49.2833,-122.9167,366.0,1.0
CA001101158,BURNABY SIMON FRASER U,2016-08-04,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-05,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-06,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-07,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-08,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-10,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-11,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-12,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-13,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-14,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-17,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-18,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-19,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-20,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-21,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-22,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-25,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-26,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-27,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-28,49.2833,-122.9167,366.0,1.2
CA001101158,BURNABY SIMON FRASER U,2016-08-29,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-08-30,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-09-01,49.2833,-122.9167,366.0,36.2
CA001101158,BURNABY SIMON FRASER U,2016-09-02,49.2833,-122.9167,366.0,20.4
CA001101158,BURNABY SIMON FRASER U,2016-09-03,49.2833,-122.9167,366.0,4.2
CA001101158,BURNABY SIMON FRASER U,2016-09-04,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-09-05,49.2833,-122.9167,366.0,2.6
CA001101158,BURNABY SIMON FRASER U,2016-09-06,49.2833,-122.9167,366.0,0.4
CA001101158,BURNABY SIMON FRASER U,2016-09-07,49.2833,-122.9167,366.0,5.0
CA001101158,BURNABY SIMON FRASER U,2016-09-08,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-09-19,49.2833,-122.9167,366.0,15.2
CA001101158,BURNABY SIMON FRASER U,2016-09-20,49.2833,-122.9167,366.0,0.4
CA001101158,BURNABY SIMON FRASER U,2016-09-21,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-09-22,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-09-23,49.2833,-122.9167,366.0,11.2
CA001101158,BURNABY SIMON FRASER U,2016-09-24,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-09-25,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-09-26,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-09-27,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-09-28,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-09-29,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-09-30,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-10-01,49.2833,-122.9167,366.0,4.0
CA001101158,BURNABY SIMON FRASER U,2016-10-03,49.2833,-122.9167,366.0,6.0
CA001101158,BURNABY SIMON FRASER U,2016-10-04,49.2833,-122.9167,366.0,0.0
CA001101158,BURNABY SIMON FRASER U,2016-10-14,49.2833,-122.9167,366.0,14.6
CA001101158,BURNABY SIMON FRASER U,2016-10-15,49.2833,-122.9167,366.0,15.4
CA001101158,BURNABY SIMON FRASER U,2016-10-16,49.2833,-122.9167,366.0,19.4
CA001101158,BURNABY SIMON FRASER U,2016-10-17,49.2833,-122.9167,366.0,22.2
CA001101158,BURNABY SIMON FRASER U,2016-10-18,49.2833,-122.9167,366.0,11.8
CA001101158,BURNABY SIMON FRASER U,2016-10-19,49.2833,-122.9167,366.0,18.9
CA001101158,BURNABY SIMON FRASER U,2016-10-20,49.2833,-122.9167,366.0,7.2
CA001101158,BURNABY SIMON FRASER U,2016-10-21,49.2833,-122.9167,366.0,10.3
CA001101158,BURNABY SIMON FRASER U,2016-10-22,49.2833,-122.9167,366.0,2.5
